id,title,company,location,category,job_type,salary_min,salary_unit,posted_at,description,requirements,logo_url,education_level,experience_level,sub_category,updated_at,workplace_type
013f9b87-bcd2-4bb4-bca8-f0e7b245d3b9,Tutor (English),British Council,Online,Education,Contract,29,hour,2025-11-17 07:32:49+00,Teach students part-time with prepared materials. Flexible hours.,"- Strong subject knowledge
- Patient and responsible
- Teaching exp a plus",https://logo.clearbit.com/britishcouncil.com,Diploma or above,Less than a year,Tutor,2025-11-16 07:32:49+00,Remote
05aa0a63-c9a2-41ff-92b0-8f61d5cde9df,Junior Mobile Developer,Shopee,Orchard,IT Software,Contract,19,hour,2025-11-19 07:32:49+00,Work with the product team to build and maintain app features. Training provided.,"- Basic programming knowledge
- Good attitude and learning mindset
- Teamwork",https://logo.clearbit.com/shopee.com,Diploma or above,1-3 years,Mobile,2025-11-21 07:32:49+00,On-site
0f53705a-9325-4480-90d0-a0c62f31d65d,Driver Assistant,J&T Express,Tuas,Logistics,Part-time,3100,month,2025-11-18 07:32:49+00,Support delivery/warehouse operations and basic scanning tasks.,"- Physically fit
- Basic smartphone skills
- Responsible",https://logo.clearbit.com/j&texpress.com,Secondary school,Less than a year,Driver,2025-11-19 07:32:49+00,On-site
1a05e306-5821-468c-99c5-d9e945e1fc18,Content Design Assistant,SPH Media,Raffles Place,Design,Part-time,18,hour,2025-11-11 07:32:49+00,Support design tasks for marketing and product visuals. Simple tools like Figma/Canva.,"- Basic design sense
- Can use Figma/Canva
- Portfolio preferred",https://logo.clearbit.com/sphmedia.com,Diploma or above,1-3 years,Content Design,2025-11-22 07:32:49+00,Hybrid
1acbef7c-26fd-4220-a41e-551500e12659,Event Crew,PSB Events,Marina Bay,Events,Part-time,15,hour,2025-11-15 10:00:00+00,"Support event setup, guest guidance, and on-site coordination.","- Able to lift light equipment
- Punctual and reliable",https://logo.clearbit.com/psb-academy.edu.sg,No formal qualification,No experience,Event Support,2025-11-23 06:56:10.671336+00,On-site
23d4b086-524a-4b21-9bb5-8cdc3db8c1db,Mobile Developer Intern,NCS,Jurong East,IT Software,Full-time,18,hour,2025-11-11 07:32:49+00,Work with the product team to build and maintain app features. Training provided.,"- Basic programming knowledge
- Good attitude and learning mindset
- Teamwork",https://logo.clearbit.com/ncs.com,Degree preferred,No experience,Mobile,2025-11-19 07:32:49+00,Hybrid
27799807-e4bd-4c86-91eb-21c16cafe067,Office Admin Executive (Junior),SATS,Online,Admin,Contract,2200,month,2025-11-10 07:32:49+00,Handle basic admin and customer support tasks using company systems.,"- Good communication
- Basic MS Office/typing
- Detail-oriented",https://logo.clearbit.com/sats.com,Diploma or above,No experience,Office Admin,2025-11-20 07:32:49+00,Remote
36943468-2fa2-41e1-a681-f7d7f6b0f224,Fitness Coach Helper,ActiveSG,Kallang,Sports,Part-time,13,hour,2025-11-10 10:00:00+00,Assist coaches during classes and manage equipment.,"- Interest in fitness
- Energetic and responsible",https://logo.clearbit.com/myactivesg.com,Secondary school,Less than a year,Coach Assistant,2025-11-23 06:56:10.671336+00,On-site
3f5118bf-dd34-4ddc-a7ae-a50b517882df,Backend Developer Intern,CloudNova,Tanjong Pagar,IT Software,Part-time,19,hour,2025-11-20 07:16:29+00,Support API development and database tasks. Simple Node.js or Python scripts under guidance.,"- Basic programming skills
- Understanding of REST is a plus
- Responsible and careful",https://logo.clearbit.com/cloudnova.io,Diploma or above,No experience,Backend,2025-11-21 07:16:29+00,On-site
44e8ac15-82a1-4ce2-87bf-823212232c20,Crew Leader,Live Nation SG,Bugis,Events,Shift-based,15,hour,2025-11-17 07:32:49+00,"Assist event setup, crowd support, and on-site logistics.","- Able to work weekends/night
- Team player
- Comfortable standing",https://logo.clearbit.com/livenationsg.com,Secondary school,No experience,Crew Leader,2025-11-20 07:32:49+00,On-site
4725e096-2135-4fcb-b4cc-3e22d481992c,Warehouse Inventory Assistant,DHL Supply Chain,Tuas,Logistics,Contract,2200,month,2025-11-17 07:16:29+00,Support stock counting and inbound/outbound scanning using handheld devices.,"- Basic computer skills
- Can lift light boxes
- Detail-oriented",https://logo.clearbit.com/dhl.com,Secondary school,Less than a year,Inventory,2025-11-21 07:16:29+00,On-site
4804b51b-2975-4ac8-849b-35843aab9051,Sales Assistant Assistant,NTUC FairPrice,Tuas,Retail,Full-time,12,hour,2025-11-10 07:32:49+00,"Assist customers, handle stock and checkout. Weekend/shift work.","- Polite and patient
- Careful with cash/stock
- Able to work shifts",https://logo.clearbit.com/ntucfairprice.com,No formal qualification,Less than a year,Sales Assistant,2025-11-16 07:32:49+00,On-site
5292af01-364f-4168-95a0-73b548b2e456,UI Designer Intern,DesignLab SG,Tanjong Pagar,Design,Part-time,18,hour,2025-11-21 10:00:00+00,Create mobile UI mockups and assist design lead.,"- Figma basics
- Attention to detail
- Portfolio preferred",https://logo.clearbit.com/figma.com,Diploma or above,No experience,UI/UX Design,2025-11-23 06:56:10.671336+00,Hybrid
52c33c6d-889f-4fd4-b267-adc896387a67,Warehouse Coordinator,Ninja Van,Orchard,Logistics,Contract,2400,month,2025-11-13 07:32:49+00,Support delivery/warehouse operations and basic scanning tasks.,"- Physically fit
- Basic smartphone skills
- Responsible",https://logo.clearbit.com/ninjavan.com,Secondary school,Less than a year,Warehouse,2025-11-16 07:32:49+00,On-site
5750eb79-00b9-47b2-ad14-aa5f8e152c34,Customer Service Chat Agent,Traveloka,Singapore,Admin,Shift-based,2500,month,2025-11-15 07:16:29+00,Reply to customer inquiries via live chat and email. Rotating shifts.,"- Good written English
- Fast typing
- Calm under pressure",https://logo.clearbit.com/traveloka.com,Diploma or above,Less than a year,Customer Support,2025-11-22 07:16:29+00,Hybrid
5eca895a-59e5-4371-8d1e-0605734680d5,Event Support Crew,Live Nation SG,Bishan,Events,Shift-based,11,hour,2025-11-16 07:32:49+00,"Assist event setup, crowd support, and on-site logistics.","- Able to work weekends/night
- Team player
- Comfortable standing",https://logo.clearbit.com/livenationsg.com,No formal qualification,No experience,Event Support,2025-11-22 07:32:49+00,Hybrid
60400017-5b2e-49b3-9722-3e55279756f3,Driver Coordinator,Lalamove,Singapore,Logistics,Contract,2100,month,2025-11-22 07:32:49+00,Support delivery/warehouse operations and basic scanning tasks.,"- Physically fit
- Basic smartphone skills
- Responsible",https://logo.clearbit.com/lalamove.com,No formal qualification,No experience,Driver,2025-11-21 07:32:49+00,On-site
613b120d-1c8b-473a-bd6e-cacef156b5a0,Promoter,Samsung,Plaza Singapura,Marketing,Part-time,14,hour,2025-11-12 10:00:00+00,"Promote latest devices, explain features to customers.","- Outgoing personality
- Sales interest",https://logo.clearbit.com/samsung.com,Secondary school,No experience,Brand Promoter,2025-11-23 06:56:10.671336+00,On-site
66b70e24-2c8c-475d-bf86-2de7a1f991ed,UI/UX Design Assistant,Creative Hub SG,Bishan,Design,Part-time,19,hour,2025-11-20 07:32:49+00,Support design tasks for marketing and product visuals. Simple tools like Figma/Canva.,"- Basic design sense
- Can use Figma/Canva
- Portfolio preferred",https://logo.clearbit.com/creativehubsg.com,Diploma or above,Less than a year,UI/UX Design,2025-11-19 07:32:49+00,Hybrid
6da425bd-70e8-4ca3-a519-1bd989c73d6c,Branding Intern,Shopee,Kent Ridge,Design,Part-time,17,hour,2025-11-13 07:16:29+00,Assist marketing team with campaign visuals and basic brand assets.,"- Interest in branding/marketing
- Can use Figma/Canva
- Teamwork",https://logo.clearbit.com/shopee.sg,Diploma or above,No experience,Branding,2025-11-17 07:16:29+00,On-site
6dd379b7-6b9f-48e2-91f4-39b5ee2bf682,Teaching Assistant (English),MindChamps,Raffles Place,Education,Full-time,29,hour,2025-11-11 07:32:49+00,Teach students part-time with prepared materials. Flexible hours.,"- Strong subject knowledge
- Patient and responsible
- Teaching exp a plus",https://logo.clearbit.com/mindchamps.com,Degree preferred,1-3 years,Teaching Assistant,2025-11-22 07:32:49+00,On-site
6f32fb75-7c20-47af-84d1-fd12d2d9d8fb,Graphic Design Assistant,JOLT Digital,Bugis,Design,Part-time,14,hour,2025-11-21 07:32:49+00,Support design tasks for marketing and product visuals. Simple tools like Figma/Canva.,"- Basic design sense
- Can use Figma/Canva
- Portfolio preferred",https://logo.clearbit.com/joltdigital.com,Diploma or above,Less than a year,Graphic Design,2025-11-19 07:32:49+00,On-site
80f0dec3-eaea-4250-932a-cebf8df1c7fe,Rider Assistant,Ninja Van,Toa Payoh,Logistics,Part-time,2300,month,2025-11-23 07:32:49+00,Support delivery/warehouse operations and basic scanning tasks.,"- Physically fit
- Basic smartphone skills
- Responsible",https://logo.clearbit.com/ninjavan.com,Secondary school,Less than a year,Rider,2025-11-23 07:32:49+00,On-site
8122c6ef-b877-49c0-9a0d-ae59f721cd3a,Cafe Barista,Starbucks,Bugis,F&B,Part-time,11,hour,2025-11-21 10:00:00+00,Prepare beverages and provide friendly customer service.,"- Customer service mindset
- Willing to learn coffee skills",https://logo.clearbit.com/starbucks.com,No formal qualification,No experience,Barista,2025-11-23 06:56:10.671336+00,On-site
86e3f40b-81c3-4ac2-ae51-47d803d78b66,Driver Assistant,J&T Express,Bishan,Logistics,Part-time,3500,month,2025-11-13 07:32:49+00,Support delivery/warehouse operations and basic scanning tasks.,"- Physically fit
- Basic smartphone skills
- Responsible",https://logo.clearbit.com/j&texpress.com,No formal qualification,No experience,Driver,2025-11-20 07:32:49+00,On-site
8810d627-394d-47d7-91c4-f8b628d9be53,Frontend Developer Intern,FinTechX SG,Raffles Place,IT Software,Part-time,18,hour,2025-11-21 07:16:29+00,Assist in building mobile/web UI with React. Work with a mentor to implement features and fix bugs.,"- Basic JavaScript/React knowledge
- Willing to learn quickly
- Good teamwork",https://logo.clearbit.com/fintechx.com,Diploma or above,No experience,Frontend,2025-11-22 07:16:29+00,Hybrid
93d66b50-a2bb-4a9e-a0dc-56d55c6b43d7,Retail Cashier (Weekend),NTUC FairPrice,Toa Payoh,Retail,Part-time,11,hour,2025-11-19 07:16:29+00,"Handle checkout, assist customers, and restock small items. Weekend shifts.","- Careful with cash
- Polite and patient
- Able to work weekends",https://logo.clearbit.com/fairprice.com.sg,Secondary school,No experience,Cashier,2025-11-20 07:16:29+00,On-site
95fbc732-e7b5-49e3-be07-ffab2d5744b5,Private Tutor (English),EduBright,Online,Education,Part-time,28,hour,2025-11-16 07:16:29+00,Teach primary/secondary English online. Flexible evenings and weekends.,"- Strong English
- Patient and responsible
- Teaching experience preferred",https://logo.clearbit.com/edubright.sg,Degree preferred,1-3 years,Tutor,2025-11-19 07:16:29+00,Remote
9737f8dc-2246-4702-8ee3-ea694f139979,Food Delivery Rider,GrabFood,Orchard,F&B,Part-time,12,hour,2025-11-12 10:00:00+00,Deliver food orders in central Singapore. Flexible shifts.,"- Own bicycle or motorbike
- Smartphone with data
- Able to work weekends",https://logo.clearbit.com/grab.com,No formal qualification,No experience,Delivery Rider,2025-11-23 06:56:10.671336+00,On-site
9a4fb420-d7d6-4ca4-aab1-471add08d429,Junior UI/UX Design Designer,Gojek Creative,Bishan,Design,Contract,19,hour,2025-11-21 07:32:49+00,Support design tasks for marketing and product visuals. Simple tools like Figma/Canva.,"- Basic design sense
- Can use Figma/Canva
- Portfolio preferred",https://logo.clearbit.com/gojekcreative.com,Diploma or above,Less than a year,UI/UX Design,2025-11-20 07:32:49+00,Remote
9eb244cb-6cf9-491a-8c1c-bbcfb8dda1f6,Data Engineer (Entry Level),DBS Bank,Bugis,IT Software,Full-time,21,hour,2025-11-11 07:32:49+00,Work with the product team to build and maintain app features. Training provided.,"- Basic programming knowledge
- Good attitude and learning mindset
- Teamwork",https://logo.clearbit.com/dbsbank.com,Diploma or above,Less than a year,Data,2025-11-18 07:32:49+00,Remote
a1854ea8-04c7-40ee-9354-bf6e0141e74d,Graphic Design Assistant,Creative Hub SG,Bugis,Design,Part-time,16,hour,2025-11-18 07:16:29+00,Help create posters and social media visuals for local brands. Simple edits in Canva/Adobe.,"- Basic design sense
- Can use Canva/Photoshop
- Portfolio preferred",https://logo.clearbit.com/creativehub.sg,Diploma or above,Less than a year,Graphic Design,2025-11-18 07:16:29+00,Hybrid
a1b65772-9af8-4e28-9cb0-c956963728d5,Tutor (Math),EduBright,Jurong East,Education,Contract,34,hour,2025-11-11 07:32:49+00,Teach students part-time with prepared materials. Flexible hours.,"- Strong subject knowledge
- Patient and responsible
- Teaching exp a plus",https://logo.clearbit.com/edubright.com,Degree preferred,Less than a year,Tutor,2025-11-20 07:32:49+00,Hybrid
a29a2c94-6778-4b9d-8f1d-124f6a3b8d51,Admin Assistant,NUS Office,Kent Ridge,Admin,Full-time,2500,month,2025-11-07 10:00:00+00,"Handle emails, data entry, and scheduling.","- MS Office skills
- Organized and careful",https://logo.clearbit.com/nus.edu.sg,Diploma or above,Less than a year,Office Admin,2025-11-23 06:56:10.671336+00,On-site
a5453f37-7a44-43e7-82cb-132ba6f55d91,Restaurant Waiter/Waitress,Din Tai Fung,Orchard,Hospitality,Part-time,12,hour,2025-11-22 07:16:29+00,"Serve customers, take orders, and keep dining area clean. Training provided.","- Friendly attitude
- Able to stand long hours
- Basic English",https://logo.clearbit.com/dintaifung.com.sg,No formal qualification,No experience,Waiter,2025-11-22 07:16:29+00,On-site
a7adabf2-27cb-4f44-83d4-fe603c82ef24,Teaching Assistant (Primary),MindChamps,Tanjong Pagar,Education,Shift-based,35,hour,2025-11-12 07:32:49+00,Teach students part-time with prepared materials. Flexible hours.,"- Strong subject knowledge
- Patient and responsible
- Teaching exp a plus",https://logo.clearbit.com/mindchamps.com,Diploma or above,Less than a year,Teaching Assistant,2025-11-22 07:32:49+00,On-site
aadc6a9f-b452-4218-b8d2-b96c01f7eb8a,Teaching Assistant (Math),MindChamps,Tuas,Education,Part-time,27,hour,2025-11-19 07:32:49+00,Teach students part-time with prepared materials. Flexible hours.,"- Strong subject knowledge
- Patient and responsible
- Teaching exp a plus",https://logo.clearbit.com/mindchamps.com,Degree preferred,1-3 years,Teaching Assistant,2025-11-18 07:32:49+00,On-site
b0c19345-78e4-4cf9-a828-281565c06dc5,Event Support Crew,Event Mania,Bugis,Events,Shift-based,14,hour,2025-11-10 07:32:49+00,"Assist event setup, crowd support, and on-site logistics.","- Able to work weekends/night
- Team player
- Comfortable standing",https://logo.clearbit.com/eventmania.com,No formal qualification,No experience,Event Support,2025-11-21 07:32:49+00,Hybrid
c17e6e0e-181b-4b2c-a0d0-f926382387b7,Tutor (Math),EduBright,Online,Education,Shift-based,35,hour,2025-11-09 07:32:49+00,Teach students part-time with prepared materials. Flexible hours.,"- Strong subject knowledge
- Patient and responsible
- Teaching exp a plus",https://logo.clearbit.com/edubright.com,Diploma or above,1-3 years,Tutor,2025-11-18 07:32:49+00,Remote
c85713d3-74cc-4e3c-a695-f25be2723ca6,Teaching Assistant (Primary),Kumon,Toa Payoh,Education,Part-time,31,hour,2025-11-13 07:32:49+00,Teach students part-time with prepared materials. Flexible hours.,"- Strong subject knowledge
- Patient and responsible
- Teaching exp a plus",https://logo.clearbit.com/kumon.com,Diploma or above,3-5 years,Teaching Assistant,2025-11-16 07:32:49+00,On-site
cacf093c-410c-41ee-8444-7c4229e46e7d,Tutor (Primary),EduBright,Bugis,Education,Full-time,31,hour,2025-11-20 07:32:49+00,Teach students part-time with prepared materials. Flexible hours.,"- Strong subject knowledge
- Patient and responsible
- Teaching exp a plus",https://logo.clearbit.com/edubright.com,Degree preferred,Less than a year,Tutor,2025-11-16 07:32:49+00,Remote
d47c31eb-c58a-4cbc-9681-856c6be8ac86,Warehouse Packer,Shopee Logistics,Jurong,Logistics,Full-time,2200,month,2025-11-19 10:00:00+00,"Pick and pack parcels, ensure orders are accurate.","- Basic English reading
- Willing to do shift work",https://logo.clearbit.com/shopee.sg,Secondary school,No experience,Warehouse,2025-11-23 06:56:10.671336+00,On-site
dc92afb9-aa47-4c5f-b86d-7d493cef2e09,UI/UX Design Assistant,SPH Media,Bugis,Design,Contract,16,hour,2025-11-16 07:32:49+00,Support design tasks for marketing and product visuals. Simple tools like Figma/Canva.,"- Basic design sense
- Can use Figma/Canva
- Portfolio preferred",https://logo.clearbit.com/sphmedia.com,Diploma or above,No experience,UI/UX Design,2025-11-23 07:32:49+00,Hybrid
ec097f75-ed90-4824-8178-8a301b61ed23,Retail Sales Assistant,Uniqlo,VivoCity,Retail,Part-time,10,hour,2025-11-19 10:00:00+00,"Assist customers, manage stock, and support store operations.","- Good communication
- Comfortable standing long hours
- Team player",https://logo.clearbit.com/uniqlo.com,Secondary school,No experience,Sales Assistant,2025-11-23 06:56:10.671336+00,On-site
ecd3420c-1c37-4900-9dbc-49bd3dc84a38,Delivery Driver (Van),Lalamove,Paya Lebar,Logistics,Full-time,3200,month,2025-11-14 07:16:29+00,Deliver parcels across Singapore. Company van provided.,"- Valid Class 3 license
- Familiar with SG roads
- Responsible",https://logo.clearbit.com/lalamove.com,No formal qualification,1-3 years,Driver,2025-11-20 07:16:29+00,On-site
f179e7cb-9c9a-4f8a-857a-16aaa4cdbfb3,UI/UX Design Intern,Creative Hub SG,Singapore,Design,Shift-based,15,hour,2025-11-09 07:32:49+00,Support design tasks for marketing and product visuals. Simple tools like Figma/Canva.,"- Basic design sense
- Can use Figma/Canva
- Portfolio preferred",https://logo.clearbit.com/creativehubsg.com,Diploma or above,No experience,UI/UX Design,2025-11-22 07:32:49+00,On-site
f2f39f1b-bb3c-4c0d-bcfb-0baca0fa84eb,Rider Assistant,Ninja Van,Raffles Place,Logistics,Shift-based,3600,month,2025-11-10 07:32:49+00,Support delivery/warehouse operations and basic scanning tasks.,"- Physically fit
- Basic smartphone skills
- Responsible",https://logo.clearbit.com/ninjavan.com,Secondary school,Less than a year,Rider,2025-11-23 07:32:49+00,Remote
f3cdb10c-1747-48fc-886d-b48e8c42c23f,Rider Coordinator,Lalamove,Jurong East,Logistics,Shift-based,2600,month,2025-11-09 07:32:49+00,Support delivery/warehouse operations and basic scanning tasks.,"- Physically fit
- Basic smartphone skills
- Responsible",https://logo.clearbit.com/lalamove.com,Secondary school,No experience,Rider,2025-11-19 07:32:49+00,Remote
f3f4a032-5811-41da-a9fb-83dc70e60517,Driver Assistant,Ninja Van,Singapore,Logistics,Contract,3000,month,2025-11-09 07:32:49+00,Support delivery/warehouse operations and basic scanning tasks.,"- Physically fit
- Basic smartphone skills
- Responsible",https://logo.clearbit.com/ninjavan.com,Secondary school,No experience,Driver,2025-11-20 07:32:49+00,On-site
fecd26a3-7b68-4de6-b5c2-527c2eb3c5a0,Tutor (Math),Bright Tuition,Bukit Timah,Education,Part-time,20,hour,2025-11-15 10:00:00+00,Teach secondary students math. Materials provided.,"- Strong math foundation
- Patient and clear teaching",https://logo.clearbit.com/kumon.com,Degree preferred,1-3 years,Tutor,2025-11-23 06:56:10.671336+00,On-site